id;title;maker;culture;period;creation_date;object_name;medium;description;credit_line;filename;dimensions;element_type;size_s_m_l
130;Animal sculpture;Wayne Wadhams;;;c.1981;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_95.jpg;Overall: 10 15/16 x 13 7/8 in. (27.8 x 35.3 cm);Overall;medium
22220;Egyptian tablet (detail);Wayne Wadhams;;;c.1981;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_96.jpg;image: 9 7/16 x 13 11/16 in. (23.9 x 34.7 cm);image;medium
3216;Horse and rider;Wayne Wadhams;;;c.1981;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_97.jpg;image: 13 3/4 x 9 1/2 in. (34.9 x 24.2 cm);image;medium
11468;Egyptian tablet (detail);Wayne Wadhams;;;1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_98.jpg;Overall: 10 15/16 x 14 in. (27.8 x 35.5 cm);Overall;medium
1540;Head with crown;Wayne Wadhams;;;1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_99.jpg;image: 13 11/16 x 9 5/16 in. (34.8 x 23.6 cm);image;medium
7088;Two heads;Wayne Wadhams;;;1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_100.jpg;image: 8 3/4 x 13 7/16 in. (22.3 x 34.2 cm);image;medium
7208;Egyptian male and female;Wayne Wadhams;;;1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_101.jpg;image: 13 3/4 x 9 11/16 in. (34.9 x 24.6 cm);image;medium
10911;Two heads in profile;Wayne Wadhams;;;1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_102.jpg;image: 9 3/4 x 13 3/4 in. (24.8 x 34.9 cm);image;medium
20028;Egyptian figure;Wayne Wadhams;;;1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_103.jpg;image: 13 11/16 x 9 5/16 in. (34.8 x 23.6 cm);image;medium
1142;Hieroglyphics on tablet(?);Wayne Wadhams;;;1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_104.jpg;image: 9 5/16 x 13 11/16 in. (23.7 x 34.8 cm);image;medium
2809;Skeleton figure;Wayne Wadhams;;;1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_105.jpg;image: 13 11/16 x 9 5/16 in. (34.8 x 23.6 cm);image;medium
4004;Head of figure;Wayne Wadhams;;;1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_106.jpg;image: 13 11/16 x 9 in. (34.7 x 22.9 cm);image;medium
22628;Egyptian head;Wayne Wadhams;;;1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_107.jpg;image: 10 x 13 11/16 in. (25.4 x 34.8 cm);image;medium
13184;Lion;Wayne Wadhams;;;1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_110.jpg;image: 19 1/2 x 13 3/16 in. (49.6 x 33.5 cm);image;medium
7731;Male head;Wayne Wadhams;;;1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_111.jpg;image: 12 15/16 x 19 1/2 in. (32.9 x 49.5 cm);image;medium
20210;Sarcophagus (detail);Wayne Wadhams;;;1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_112.jpg;image: 13 5/16 x 19 7/16 in. (33.8 x 49.3 cm);image;medium
6346;Three heads (detail);Wayne Wadhams;;;1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_113.jpg;image: 13 1/16 x 19 7/16 in. (33.2 x 49.4 cm);image;medium
